feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
911237|South Fork Mogollow Creek|Stream|New Mexico|35|Grant|017|Shelley Peak|11/13/1980|||||331241N|1083330W|33.2114548|-108.5583883|330933N|1083100W|33.1591667|-108.5166667
911238|South Fork Negrito Creek|Stream|New Mexico|35|Catron|003|Sign Camp Mountain|11/13/1980||Official|Board Decision|01/01/1965|333625N|1083752W|33.6070026|-108.6311721|332758N|1083640W|33.4661729|-108.6111709
911239|South Fork North Seco Creek|Stream|New Mexico|35|Sierra|051|Victorio Park|11/13/1980|||||330609N|1074746W|33.1025713|-107.7961471|330414N|1074940W|33.0705556|-107.8277778
911240|South Fork Palomas Creek|Stream|New Mexico|35|Sierra|051|Thumb Tank Peak|11/13/1980||Official|Board Decision|01/01/1965|331045N|1073202W|33.1792381|-107.533922|330955N|1075108W|33.1653491|-107.8522602
911241|South Fork Peak|Summit|New Mexico|35|Taos|055|Wheeler Peak|11/13/1980|01/22/2020||||363256N|1052843W|36.5487736|-105.4785039|||0.0|0.0
911242|South Fork Polvadera Creek|Stream|New Mexico|35|Rio Arriba|039|Polvadera Peak|11/13/1980|||||360605N|1062645W|36.1014084|-106.445866|360144N|1062646W|36.0288889|-106.4461111
911243|South Fork Powderhorn Canyon|Valley|New Mexico|35|Grant|017|Hay Mesa|11/13/1980|01/28/2020||||330204N|1075631W|33.0343237|-107.9419399|330320N|1075240W|33.0555717|-107.8777057
911244|South Fork Puerco River|Stream|New Mexico|35|McKinley|031|Gallup East|11/13/1980|||||353207N|1084001W|35.5353003|-108.6670268|352901N|1081624W|35.4836356|-108.2734036
911245|South Fork Rio Casa|Stream|New Mexico|35|Mora|033|Gascon|08/31/1992|||||355923N|1052625W|35.989753|-105.4402923|355905N|1053250W|35.9847507|-105.5472381
911246|South Fork Rio Bonito|Stream|New Mexico|35|Lincoln|027|Nogal Peak|11/13/1980|||||332719N|1054508W|33.4553558|-105.7522084|332504N|1054923W|33.4177778|-105.8230556
